,Unnamed: 0,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,hanaa_nm,automatic_ind,delek_cd,fieldprice_equ,n_model
20,20,מזדה,CX5,COMFORT,2022,5,5,"169,900",4,4214.0,שלוש שנים,אחודה,2016,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.399999618530273,4000,10.100000381469727,189.0,0.0,0.0,12.8,0,0,0,0,0,13.0,13.0,ABS + EBD + BAS,6,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,0,0,0,0,1,0,0,0,תאורה אדפטיבית,457.5,184.5,166.0,270.0,438.0,0.0,1594,750,1500,225/55R19,56.0,מקורית + שליטה מההגה,1,0,1,8.0,0,USB,Android Auto + Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,0,1,כולל שמירת מרחק,עור,יש - לנהג בלבד,0,0,LED עם מנגנון הפניה בסיבוב,0,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,0,1,1,יש + Auto Hold,0,0,רגילים,0,חלונות אחוריים כהים,2X4,1,1,0,5
21,21,מזדה,CX5,PURE,2022,5,5,"197,900",5,4908.0,שלוש שנים,אחודה,2016,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,2488,195,6000,26.29999923706055,4000,8.899999618530273,201.0,0.0,0.0,12.2,0,0,0,0,0,14.0,14.0,ABS + EBD + BAS,6,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,0,1,0,0,0,תאורה אדפטיבית,457.5,184.5,166.0,270.0,438.0,0.0,1626,750,1500,225/55R19,58.0,מקורית + שליטה מההגה,1,0,1,8.0,0,USB,Android Auto + Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,עור,יש  + זכרון,0,0,LED עם מנגנון הפניה בסיבוב,1,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,1,1,1,יש + Auto Hold,0,0,רגילים,0,"חלונות אחוריים כהים, מסך 7 אינץ' בלוח המחוונים, צביעה שחורה לבתי גלגלים, ספי הדלתות, פגוש קדמי תחתון, פגוש אחורי, מראות צד ולסבכה הקדמית, יציאות מפלט מוגדלות, חישוקים מושחרים, מערכת שמע מבית Bose עם 10 רמקולים, תפרים אדומים בתא הנוסעים",2X4,1,1,0,5
22,22,מזדה,CX5,ACTIVE,2022,5,5,"177,900",5,4412.0,שלוש שנים,אחודה,2016,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.399999618530273,4000,10.100000381469727,189.0,0.0,0.0,12.8,0,0,0,0,0,13.0,13.0,ABS + EBD + BAS,6,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,0,1,0,0,0,תאורה אדפטיבית,457.5,184.5,166.0,270.0,438.0,0.0,1594,750,1500,225/55R19,56.0,מקורית + שליטה מההגה,1,0,1,8.0,0,USB,Android Auto + Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,עור,יש - לנהג בלבד,0,0,LED עם מנגנון הפניה בסיבוב,1,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,0,1,1,יש + Auto Hold,0,0,רגילים,0,"חלונות אחוריים כהים, מסך 7 אינץ' בלוח המחוונים, גימורים כסופים בפגוש הקדמי, האחורי ובספי הדלתות, מראות צד בצבע שחור, ריפוד עור בדוגמה ייחודית, גימור ירוק-ליים בפתחי המיזוג",2X4,1,1,0,5
23,23,מזדה,3.0,SPIRIT,2020,4,5,0,3,0.0,0,0,2019,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.700000762939453,4000,8.5,208.0,14.0,18.6,16.6,0,0,0,0,0,9.0,9.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,1,1,0,0,0,תאורה אדפטיבית,466.0,179.5,144.0,272.5,444.0,0.0,1454,600,1300,215/45R18,51.0,מקורית + שליטה מההגה,1,0,1,8.8,0,USB,Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,בד,0,0,0,LED עם מנגנון הפניה בסיבוב,0,1,1,0,אחורית,0,1,1,0,כניסה + הנעה,1,מראות פנים,1,0,1,0,1,יש + Auto Hold,0,0,רגילים,0,פנסים אחוריים Led,2X4,1,1,"צבע אדום עשיר, צבע אפור עשיר",3
24,24,מזדה,3.0,COMFORT,2020,4,5,0,3,3423.0,0,0,2019,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.700000762939453,4000,8.5,208.0,14.0,18.6,16.6,0,0,0,0,0,9.0,9.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,1,1,0,0,0,0,466.0,179.5,144.0,272.5,444.0,0.0,1454,600,1300,205/60R16,51.0,מקורית + שליטה מההגה,1,0,1,8.8,0,USB,Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,0,1,כולל שמירת מרחק,בד,0,0,0,LED,0,1,1,0,אחורית,0,1,1,0,הנעה בלבד,1,0,1,0,0,0,1,יש + Auto Hold,0,0,רגילים,0,0,2X4,1,1,"צבע אדום עשיר, צבע אפור עשיר",3
25,25,מזדה,3.0,SPIRIT,2021,4,5,0,4,0.0,0,0,2019,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.700000762939453,4000,8.5,208.0,0.0,0.0,13.8,0,0,0,0,0,11.0,11.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,1,1,0,0,0,תאורה אדפטיבית,466.0,179.5,144.0,272.5,444.0,0.0,1454,600,1300,215/45R18,51.0,מקורית + שליטה מההגה,1,0,1,8.8,0,USB,Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,בד,0,0,0,LED עם מנגנון הפניה בסיבוב,0,1,1,0,אחורית,0,1,1,0,כניסה + הנעה,1,מראות פנים,1,0,1,0,1,יש + Auto Hold,0,0,רגילים,0,פנסים אחוריים Led,2X4,1,1,"צבע אדום עשיר, צבע אפור עשיר",3
26,26,מזדה,3.0,COMFORT,2021,4,5,0,3,3497.0,0,0,2019,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.700000762939453,4000,8.5,208.0,0.0,0.0,13.8,0,0,0,0,0,11.0,11.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,1,1,0,0,0,0,466.0,179.5,144.0,272.5,444.0,0.0,1454,600,1300,205/60R16,51.0,מקורית + שליטה מההגה,1,0,1,8.8,0,USB,Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,0,1,כולל שמירת מרחק,בד,0,0,0,LED,0,1,1,0,אחורית,0,1,1,0,הנעה בלבד,1,0,1,0,0,0,1,יש + Auto Hold,0,0,רגילים,0,0,2X4,1,1,"צבע אדום עשיר, צבע אפור עשיר",3
27,27,מזדה,3.0,SPIRIT,2021,5,5,0,4,0.0,0,0,2019,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.700000762939453,4000,8.399999618530272,201.0,0.0,0.0,13.8,0,0,0,0,0,11.0,11.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,1,1,0,0,0,תאורה אדפטיבית,446.0,179.5,143.5,272.5,295.0,0.0,1451,600,1300,215/45R18,51.0,מקורית + שליטה מההגה,1,0,1,8.8,0,USB,Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,בד,0,0,0,LED עם מנגנון הפניה בסיבוב,0,1,1,0,אחורית,0,1,1,0,כניסה + הנעה,1,מראות פנים,1,0,1,0,1,יש + Auto Hold,0,0,רגילים,0,"פנסים אחוריים Led, גימורי חוץ כרום שחור",2X4,1,1,"צבע אדום עשיר, צבע אפור עשיר",3
28,28,מזדה,3.0,SPIRIT,2020,5,5,0,3,0.0,0,0,2019,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.700000762939453,4000,8.399999618530272,201.0,13.8,18.5,16.4,0,0,0,0,0,10.0,10.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,1,1,0,0,0,תאורה אדפטיבית,446.0,179.5,143.5,272.5,295.0,0.0,1451,600,1300,215/45R18,51.0,מקורית + שליטה מההגה,1,0,1,8.8,0,USB,Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,בד,0,0,0,LED עם מנגנון הפניה בסיבוב,0,1,1,0,אחורית,0,1,1,0,כניסה + הנעה,1,מראות פנים,1,0,1,0,1,יש + Auto Hold,0,0,רגילים,0,"פנסים אחוריים Led, גימורי חוץ כרום שחור",2X4,1,1,"צבע אדום עשיר, צבע אפור עשיר",3
29,29,מזדה,3.0,ACTIVE,2012,4,5,0,3,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4,1999,150,6500,19.0,4000,10.399999618530273,200.0,9.0,16.1,12.5,0,0,0,0,0,8.0,8.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0,175.5,147.0,264.0,430.0,0.0,1330,540,750,205/50R17,55.0,מקורית,0,0,0,0.0,0,AUX,0,0,0,4,מזגן רגיל,0,0,ללא,בד,0,0,0,רגילים,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
30,30,מזדה,3.0,SPIRIT,2012,5,5,0,4,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4,1999,150,6500,19.0,4000,10.399999618530273,200.0,9.0,16.4,12.5,0,0,0,0,0,8.0,8.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.0,175.5,147.0,264.0,340.0,0.0,1347,540,750,205/50R17,55.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים מפוצלת,1,1,1,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
31,31,מזדה,3.0,ACTIVE,2011,4,5,0,3,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,4,בנזין,4,1598,105,6000,14.699999809265135,4000,13.100000381469727,177.0,9.6,16.1,12.0,0,0,0,0,0,8.0,8.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0,175.5,147.0,264.0,430.0,0.0,1277,540,750,195/65R15,55.0,מקורית,0,0,0,0.0,0,AUX,0,0,0,4,מזגן רגיל,0,0,ללא,בד,0,0,0,רגילים,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
32,32,מזדה,3.0,SPIRIT,2011,5,5,0,4,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4,1999,150,6500,19.0,4000,10.399999618530273,200.0,9.0,16.4,12.5,0,0,0,0,0,8.0,8.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.0,175.5,147.0,264.0,340.0,0.0,1347,540,750,205/50R17,55.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים מפוצלת,1,1,1,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
33,33,מזדה,3.0,SPIRIT,2010,4,5,0,4,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4,1999,150,6500,19.0,4000,10.399999618530273,200.0,9.0,16.3,11.6,0,0,0,0,0,8.0,8.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0,175.5,147.0,264.0,430.0,0.0,1330,540,750,205/50R17,55.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים מפוצלת,1,1,1,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
34,34,מזדה,3.0,COMFORT,2010,4,5,0,3,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,4,בנזין,4,1598,105,6000,14.699999809265135,4000,13.100000381469727,177.0,9.6,16.1,12.0,0,0,0,0,0,8.0,8.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0,175.5,147.0,264.0,430.0,0.0,1277,540,750,205/55R16,55.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים מפוצלת,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
35,35,מזדה,3.0,SPIRIT,2009,4,5,0,4,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4,1999,150,6500,19.0,4000,10.399999618530273,200.0,0.0,0.0,11.6,0,0,0,0,0,9.0,9.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0,175.5,147.0,264.0,430.0,0.0,1330,540,750,205/50R17,55.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים מפוצלת,1,1,1,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
36,36,מזדה,3.0,SPIRIT,2012,4,5,0,3,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,4,בנזין,4,1598,105,6000,14.699999809265135,4000,13.100000381469727,177.0,9.6,16.1,13.0,0,0,0,0,0,6.0,6.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0,175.5,147.0,264.0,430.0,0.0,1277,540,750,205/50R17,55.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים מפוצלת,1,1,1,בד,0,0,0,רגילים,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
37,37,מזדה,3.0,ACTIVE,2012,4,5,0,3,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,4,בנזין,4,1598,105,6000,14.699999809265135,4000,13.100000381469727,177.0,9.6,16.1,13.0,0,0,0,0,0,6.0,6.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0,175.5,147.0,264.0,430.0,0.0,1277,540,750,195/65R15,55.0,מקורית,0,0,0,0.0,0,AUX,0,0,0,4,מזגן רגיל,0,0,ללא,בד,0,0,0,רגילים,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
38,38,מזדה,3.0,ACTIVE,2010,4,5,0,3,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,4,בנזין,4,1598,105,6000,14.699999809265135,4000,13.100000381469727,177.0,9.6,16.1,13.0,0,0,0,0,0,8.0,8.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0,175.5,147.0,264.0,430.0,0.0,1277,540,750,195/65R15,55.0,מקורית,0,0,0,0.0,0,AUX,0,0,0,4,מזגן רגיל,0,0,ללא,בד,0,0,0,רגילים,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
39,39,מזדה,3.0,ACTIVE,2009,4,5,0,3,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,4,בנזין,4,1598,105,6000,14.699999809265135,4000,13.100000381469727,177.0,9.6,16.1,13.0,0,0,0,0,0,8.0,8.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0,175.5,147.0,264.0,430.0,0.0,1277,540,750,195/65R15,55.0,מקורית,0,0,0,0.0,0,AUX,0,0,0,4,מזגן רגיל,0,0,ללא,בד,0,0,0,רגילים,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
40,40,מזדה,3.0,COMFORT,2009,5,5,0,3,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,4,בנזין,4,1598,105,6000,14.699999809265135,4000,13.100000381469727,177.0,9.6,16.1,13.0,0,0,0,0,0,9.0,9.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.0,175.5,147.0,264.0,340.0,0.0,1301,540,750,205/55R16,55.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים מפוצלת,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
41,41,מזדה,3.0,SPIRIT,2011,4,5,0,4,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4,1999,150,6500,19.0,4000,10.399999618530273,200.0,9.0,16.4,11.6,0,0,0,0,0,8.0,8.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0,175.5,147.0,264.0,430.0,0.0,1330,540,750,205/50R17,55.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים מפוצלת,1,1,1,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
42,42,מזדה,3.0,COMFORT,2010,5,5,0,3,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,4,בנזין,4,1598,105,6000,14.699999809265135,4000,13.100000381469727,177.0,0.0,0.0,13.0,0,0,0,0,0,9.0,9.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.0,175.5,147.0,264.0,340.0,0.0,1301,540,750,205/55R16,55.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים מפוצלת,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
43,43,מזדה,3.0,COMFORT,2011,5,5,0,3,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,4,בנזין,4,1598,105,6000,14.699999809265135,4000,13.100000381469727,177.0,9.6,16.1,13.0,0,0,0,0,0,9.0,9.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.0,175.5,147.0,264.0,340.0,0.0,1301,540,750,205/55R16,55.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים מפוצלת,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
44,44,מזדה,3.0,COMFORT,2011,4,5,0,3,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,4,בנזין,4,1598,105,6000,14.699999809265135,4000,13.100000381469727,177.0,9.6,16.1,12.0,0,0,0,0,0,8.0,8.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0,175.5,147.0,264.0,430.0,0.0,1277,540,750,205/55R16,55.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים מפוצלת,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
45,45,מזדה,3.0,COMFORT,2009,4,5,0,3,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,4,בנזין,4,1598,105,6000,14.699999809265135,4000,13.100000381469727,177.0,9.6,16.1,13.0,0,0,0,0,0,8.0,8.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0,175.5,147.0,264.0,430.0,0.0,1277,540,750,205/55R16,55.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים מפוצלת,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
46,46,מזדה,3.0,SPIRIT,2010,5,5,0,4,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4,1999,150,6500,19.0,4000,10.399999618530273,200.0,9.0,16.3,12.5,0,0,0,0,0,8.0,8.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.0,175.5,147.0,264.0,340.0,0.0,1347,540,750,205/50R17,55.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים מפוצלת,1,1,1,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
47,47,מזדה,3.0,SPIRIT,2009,5,5,0,4,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4,1999,150,6500,19.0,4000,10.399999618530273,200.0,9.0,16.3,12.5,0,0,0,0,0,8.0,8.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.0,175.5,147.0,264.0,340.0,0.0,1347,540,750,205/50R17,55.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים מפוצלת,1,1,1,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
48,48,מזדה,3.0,SPIRIT,2012,4,5,0,4,0.0,0,0,2008,קדמית,אוטומטית - טיפטרוניק,5,בנזין,4,1999,150,6500,19.0,4000,10.399999618530273,200.0,9.0,16.1,12.5,0,0,0,0,0,8.0,8.0,ABS + EBD + BAS,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0,175.5,147.0,264.0,430.0,0.0,1330,540,750,205/50R17,55.0,מקורית + שליטה מההגה,0,0,0,0.0,0,AUX,0,0,0,4,בקרת אקלים מפוצלת,1,1,1,בד,0,0,0,רגילים,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,3
49,49,מזדה,6_סטיישן,LUXURY,2017,5,5,0,5,4167.0,0,0,2012,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.399999618530273,4000,10.600000381469727,206.0,13.2,20.0,16.7,0,0,0,0,0,8.0,8.0,ABS + EBD + BAS,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.5,184.0,148.0,275.0,451.0,1593.0,1492,0,0,225/55R17,62.0,מקורית + שליטה מההגה,1,0,1,0.0,0,USB + AUX,0,0,0,4,בקרת אקלים + פתחי איוורור מאחור,0,1,1,בד,0,0,0,רגילים,1,0,0,אחוריים + קדמיים,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0,6_סטיישן
50,50,מזדה,6_סטיישן,LUXURY,2013,5,5,0,5,0.0,0,0,2012,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,155,6000,20.299999237060547,4000,10.600000381469727,206.0,13.1,20.0,16.6,0,0,0,0,0,4.0,4.0,ABS + EBD + BAS,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.5,184.0,148.0,275.0,451.0,1593.0,1478,0,0,225/55R17,62.0,מקורית + שליטה מההגה,1,0,1,0.0,0,USB + AUX,0,0,0,4,בקרת אקלים + פתחי איוורור מאחור,0,1,1,בד,0,0,0,רגילים,1,0,0,אחוריים + קדמיים,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0,6_סטיישן
51,51,מזדה,6_סטיישן,LUXURY,2015,5,5,0,5,0.0,0,0,2012,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.399999618530273,4000,10.600000381469727,206.0,13.2,20.0,16.7,0,0,0,0,0,5.0,5.0,ABS + EBD + BAS,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.5,184.0,148.0,275.0,451.0,1593.0,1492,0,0,225/55R17,62.0,מקורית + שליטה מההגה,1,0,1,0.0,0,USB + AUX,0,0,0,4,בקרת אקלים + פתחי איוורור מאחור,0,1,1,בד,0,0,0,רגילים,1,0,0,אחוריים + קדמיים,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,0,0,0,0,0,0,0,0,0,2X4,1,1,0,6_סטיישן
